time,gFx,gFy,gFz,TgF
3.182136,-0.7493,0.1974,0.1291,0.786
3.202930,-0.5621,0.1947,0.1177,0.606
3.219420,-0.5460,0.2365,0.0800,0.600
3.237806,-0.6386,0.2436,0.0497,0.685
3.250738,-0.7766,0.2201,0.0448,0.808
3.264050,-0.8128,0.2006,0.0282,0.838
3.268603,-0.8632,0.2143,-0.0352,0.890
3.284040,-0.8658,0.2180,-0.0501,0.894
3.295951,-0.8297,0.2580,-0.1771,0.887
3.314063,-0.7547,0.2927,-0.2947,0.861
3.332767,-0.7070,0.3315,-0.4799,0.917
3.343896,-0.7234,0.3564,-0.5661,0.985
3.364318,-0.7563,0.3877,-0.6917,1.096
3.380475,-0.7612,0.4097,-0.8085,1.184
3.398003,-0.7537,0.4253,-0.7887,1.171
3.415603,-0.7586,0.4214,-0.7188,1.127
3.429264,-0.7551,0.4468,-0.5979,1.062
3.432759,-0.7402,0.4693,-0.5378,1.028
3.449557,-0.7309,0.4717,-0.5236,1.015
3.470763,-0.6611,0.4498,-0.4929,0.939
3.484712,-0.6268,0.4654,-0.5004,0.927
3.498970,-0.5059,0.5224,-0.5218,0.895
3.513086,-0.4390,0.5463,-0.5260,0.876
3.529956,-0.4566,0.5372,-0.5822,0.914
3.549425,-0.4928,0.5434,-0.6380,0.972
3.563136,-0.5267,0.5178,-0.7261,1.036
3.565978,-0.4779,0.5258,-0.7723,1.049
3.579754,-0.4703,0.5358,-0.7699,1.049
3.595061,-0.4385,0.5609,-0.7293,1.019
3.598263,-0.4104,0.5500,-0.6634,0.954
3.612150,-0.4083,0.5475,-0.6534,0.945
3.615204,-0.3254,0.5451,-0.5868,0.865
3.631082,-0.3034,0.5451,-0.5698,0.845
3.645354,-0.2426,0.5627,-0.4456,0.758
3.662740,-0.1619,0.6328,-0.3755,0.753
3.681073,-0.1561,0.6562,-0.2465,0.718
3.694909,-0.2177,0.6128,-0.1701,0.672
3.711017,-0.2299,0.6140,-0.0638,0.659
3.732419,-0.2881,0.6176,0.0519,0.683
3.745333,-0.3608,0.5996,0.0854,0.705
3.762498,-0.2629,0.6306,0.1939,0.710
3.779019,-0.1062,0.7679,0.4022,0.873
3.797763,-0.0818,0.9255,0.5980,1.105
3.812249,-0.2411,0.9416,0.6075,1.146
3.827968,-0.3833,0.8224,0.5191,1.045
3.847389,-0.4393,0.7016,0.5254,0.980
3.865198,-0.4163,0.7234,0.6659,1.068
3.880176,-0.6023,0.6778,0.6542,1.118
3.894124,-1.0102,0.4507,0.5415,1.232
3.912112,-1.2003,0.2739,0.2584,1.258
3.927909,-1.4038,0.0547,-0.0675,1.406
3.946363,-1.5126,0.0196,-0.3371,1.550
3.961665,-1.4812,-0.0251,-0.4577,1.551
3.977935,-1.4561,-0.0810,-0.4855,1.537
3.993800,-1.3032,-0.0739,-0.4720,1.388
4.013488,-1.0503,-0.0766,-0.5231,1.176
4.027930,-0.8329,-0.0903,-0.6445,1.057
4.046093,-0.6377,-0.1001,-0.7137,0.962
4.059236,-0.4476,-0.0761,-0.7347,0.864
4.062318,-0.3978,-0.0265,-0.8167,0.909
4.075737,-0.4058,-0.0170,-0.8358,0.929
4.090584,-0.5123,0.0494,-1.0349,1.156
4.111885,-0.6291,0.1156,-1.2888,1.439
4.125401,-0.6911,0.1588,-1.3867,1.558
4.144376,-0.7014,0.1486,-1.3411,1.521
4.160376,-0.7172,0.1104,-1.0885,1.308
4.174540,-0.8348,0.0829,-0.8588,1.201
4.189480,-0.9916,0.0337,-0.7007,1.215
4.203270,-1.0810,-0.0299,-0.5402,1.209
4.216779,-1.1202,-0.0679,-0.3929,1.189
4.230828,-1.0717,-0.1091,-0.3382,1.129
4.244229,-1.0190,-0.1231,-0.3970,1.100
4.257046,-0.9399,-0.1441,-0.5285,1.088
4.272488,-0.9035,-0.2066,-0.6482,1.131
4.288938,-0.8930,-0.2596,-0.7584,1.200
4.292498,-0.9433,-0.3109,-0.9064,1.345
4.308247,-0.9623,-0.3195,-0.9289,1.375
4.324595,-1.0940,-0.3938,-1.0501,1.567
4.342023,-1.1318,-0.4514,-1.1435,1.671
4.358675,-1.0715,-0.4727,-1.2507,1.713
4.373816,-1.0373,-0.4944,-1.3261,1.755
4.392095,-1.0517,-0.5042,-1.3245,1.765
4.406647,-1.0095,-0.4672,-1.2167,1.649
4.422787,-0.9643,-0.4692,-1.0680,1.513
4.444633,-0.8873,-0.4685,-0.8395,1.308
4.465279,-0.7879,-0.4277,-0.6287,1.095
4.477960,-0.6301,-0.4055,-0.5852,0.951
4.489688,-0.6154,-0.4208,-0.6399,0.982
4.496094,-0.6233,-0.4338,-0.6905,1.026
4.508431,-0.6244,-0.4385,-0.7183,1.048
4.521113,-0.6430,-0.4087,-0.7909,1.098
4.524732,-0.7263,-0.3586,-0.8942,1.207
4.541194,-0.7571,-0.3454,-0.9220,1.242
4.556839,-1.0381,-0.2957,-1.1395,1.570
4.573711,-1.1327,-0.2728,-1.3171,1.758
4.588538,-1.1111,-0.3358,-1.3164,1.755
4.592532,-1.0000,-0.3109,-1.1845,1.581
4.609099,-1.0048,-0.2972,-1.1622,1.565
4.625815,-1.0330,-0.1627,-1.0408,1.475
4.641030,-1.1294,0.0403,-0.9245,1.460
4.655774,-1.4067,0.2336,-0.8719,1.671
4.672697,-1.5932,0.3282,-0.7897,1.808
4.690460,-1.3019,0.3872,-0.5321,1.459
4.706533,-0.8641,0.5705,-0.2006,1.055
4.721186,-0.6684,0.7728,0.0234,1.022
4.740814,-0.7097,0.9179,0.1778,1.174
4.756727,-0.8621,0.8490,0.0560,1.211
4.772051,-1.0784,0.7244,-0.0802,1.302
