time,gFx,gFy,gFz,TgF
3.184387,-0.0613,0.5512,0.0673,0.559
3.201594,-0.2937,0.7039,0.2452,0.801
3.218199,-0.4058,0.8800,0.1233,0.977
3.234485,-0.3347,1.0373,0.0262,1.090
3.253365,-0.2220,1.2152,-0.0350,1.236
3.270169,-0.3349,1.2523,-0.0249,1.297
3.287134,-0.6508,1.0640,-0.1139,1.252
3.305330,-0.8458,0.8388,-0.0860,1.194
3.320870,-0.7752,0.6773,0.1182,1.036
3.336558,-0.6420,0.5900,0.2889,0.919
3.352561,-0.5304,0.5407,0.3339,0.828
3.368282,-0.4691,0.4730,0.2931,0.728
3.384743,-0.4847,0.4393,0.2666,0.706
3.400141,-0.5912,0.4214,0.2288,0.761
3.416803,-0.6848,0.4761,0.2088,0.860
3.433605,-0.8236,0.5751,0.2085,1.026
3.456007,-1.0400,0.6718,0.2477,1.263
3.482075,-1.1241,0.8146,0.1665,1.398
3.507698,-1.1456,0.9406,-0.0613,1.484
3.523505,-1.1551,0.9077,-0.0667,1.471
3.527014,-1.1426,0.8407,0.0607,1.420
3.551192,-1.1336,0.8255,0.0847,1.405
3.577166,-1.0278,0.6934,0.3351,1.284
3.593709,-0.8939,0.5868,0.5640,1.209
3.610610,-0.8180,0.5775,0.6549,1.196
3.629082,-0.7437,0.5607,0.7275,1.182
3.645124,-0.6899,0.5649,0.6833,1.123
3.663041,-0.6484,0.5749,0.6239,1.068
3.678929,-0.4143,0.6860,0.4526,0.920
3.695539,-0.2308,0.8094,0.3663,0.918
3.712952,-0.1229,0.9743,0.3048,1.028
3.730217,-0.2983,0.9557,0.2379,1.029
3.746686,-0.5726,0.8224,0.1865,1.019
3.765126,-0.7628,0.6220,0.1580,0.997
3.782733,-0.7036,0.4617,0.1467,0.854
3.799243,-0.4304,0.3792,0.2571,0.629
3.814237,-0.2106,0.3474,0.3949,0.567
3.831284,0.0188,0.3384,0.5061,0.609
3.848216,0.1716,0.3168,0.5547,0.661
3.863961,0.1099,0.2570,0.5882,0.651
3.880918,-0.0471,0.2460,0.5046,0.563
3.895338,-0.1553,0.3790,0.5009,0.647
3.911869,-0.2338,0.6189,0.4734,0.813
3.928247,-0.4053,0.9152,0.5135,1.125
3.945098,-0.7099,1.2954,0.7599,1.661
3.962203,-1.2196,1.5031,0.9733,2.167
3.978501,-1.6344,1.5372,1.0434,2.474
3.996049,-1.5814,1.4598,1.1051,2.419
4.013331,-1.1085,1.3752,1.2620,2.171
4.030485,-0.5152,1.2626,1.2681,1.862
4.047216,-0.2226,1.1227,1.0976,1.586
4.065115,-0.1111,0.9464,0.8559,1.281
4.082046,-0.0422,0.8206,0.6683,1.059
4.100283,-0.0288,0.7342,0.6207,0.962
4.119553,-0.0784,0.5998,0.6312,0.874
4.137178,-0.0913,0.4974,0.7487,0.903
4.154339,-0.1390,0.4146,0.7934,0.906
4.171221,-0.1509,0.3980,0.7751,0.884
4.192955,-0.1884,0.4324,0.7164,0.858
4.214680,-0.3776,0.4591,0.5782,0.829
4.233170,-0.8567,0.3638,0.4858,1.050
4.251343,-1.1686,0.2546,0.3516,1.247
4.269626,-1.1529,0.2059,0.1492,1.181
4.288124,-0.9100,0.2031,-0.0289,0.933
4.304627,-0.7209,0.3120,-0.2060,0.812
4.320561,-0.7826,0.3748,-0.4911,0.997
4.337522,-0.9476,0.3841,-0.7982,1.297
4.354327,-0.9806,0.3799,-0.9623,1.425
4.370827,-0.8350,0.4410,-0.7379,1.198
4.390038,-0.6543,0.5639,-0.3480,0.931
4.408106,-0.5739,0.7771,-0.0555,0.968
4.425463,-0.6867,0.8488,-0.0878,1.095
4.444481,-0.8944,0.8632,-0.1508,1.252
4.459341,-1.0491,0.9045,-0.1190,1.390
4.485265,-1.1712,0.9345,-0.0633,1.500
4.508929,-1.4092,0.8859,0.0661,1.666
4.533174,-1.1204,0.8493,0.3092,1.440
4.550234,-0.7346,0.9318,0.5025,1.289
4.554328,-0.6181,1.0491,0.5212,1.324
4.571119,-0.6589,1.0547,0.4734,1.331
4.589103,-0.8527,1.0454,0.2630,1.374
4.624587,-1.0581,0.9829,-0.0469,1.445
4.643366,-1.1656,0.7642,-0.2795,1.422
4.662612,-1.0078,0.6508,-0.1691,1.211
4.680607,-0.8336,0.5221,-0.0357,0.984
4.698238,-0.7055,0.3958,0.0223,0.809
4.716902,-0.6044,0.3489,0.1033,0.705
4.735731,-0.4402,0.3902,0.1697,0.612
4.755031,-0.2893,0.4769,0.1364,0.574
4.774235,-0.2345,0.5576,0.0959,0.612
4.791918,-0.2804,0.6518,0.0847,0.715
4.809938,-0.3403,0.6968,0.1235,0.785
4.827833,-0.3864,0.7974,0.1816,0.905
4.846252,-0.4696,0.8419,0.1839,0.981
4.865200,-0.5399,0.8646,0.1956,1.038
4.883822,-0.5389,0.8502,0.2508,1.037
4.902488,-0.5623,0.8451,0.3106,1.062
4.920913,-0.5643,0.8001,0.3822,1.051
4.939066,-0.5683,0.7554,0.4096,1.030
4.956677,-0.4329,0.7468,0.4231,0.961
4.973406,-0.2726,0.7535,0.3876,0.890
4.990322,-0.1476,0.7554,0.3473,0.844
5.005214,-0.0622,0.7696,0.3277,0.839
5.021648,-0.0850,0.7684,0.3153,0.835
5.041047,-0.2555,0.7669,0.2803,0.856
5.059232,-0.3955,0.7828,0.2437,0.910
5.078110,-0.4160,0.8483,0.2335,0.973
5.096829,-0.3718,0.9110,0.3087,1.031
5.116267,-0.3667,0.9521,0.4472,1.114
5.133817,-0.4871,1.0508,0.6868,1.347
5.153222,-0.7088,1.1170,0.7338,1.513
5.172915,-0.9301,1.0938,0.6302,1.568
5.192368,-0.9140,1.0391,0.5573,1.492
5.211425,-0.7314,0.9921,0.6297,1.384
5.230317,-0.5546,0.9406,0.7152,1.305
5.250290,-0.4684,0.8888,0.6886,1.218
5.267367,-0.5145,0.7875,0.5291,1.079
5.291333,-0.5504,0.7410,0.4480,1.026
5.312288,-0.4160,0.6983,0.4199,0.915
