time,gFx,gFy,gFz,TgF
6.466102,0.1988,1.7307,1.8747,2.559
6.485697,-0.8798,1.4532,2.5969,3.103
6.503526,-2.0444,0.9665,2.2632,3.199
6.522131,-1.9860,0.5621,1.2642,2.420
6.539686,-1.2355,0.4344,0.0721,1.312
6.561285,-0.8087,0.2064,-1.0608,1.350
6.579781,-0.8285,0.0462,-1.4163,1.641
6.598590,-0.8961,-0.1250,-0.8947,1.272
6.616796,-0.7535,-0.2635,-0.4259,0.905
6.634742,-0.4546,-0.3300,-0.3389,0.656
6.652696,-0.3251,-0.1639,-0.4725,0.597
6.671444,-0.5423,-0.1951,-0.5478,0.795
6.688550,-0.9892,-0.1008,-0.7826,1.265
6.707000,-1.5707,-0.0842,-0.8053,1.767
6.726778,-1.7583,-0.1057,-0.9118,1.983
6.747336,-1.1380,0.0620,-1.1216,1.599
6.766400,-0.8392,0.2341,-1.1522,1.445
6.784633,-0.7586,0.3589,-0.9841,1.293
6.802483,-0.9831,0.4913,-0.6618,1.283
6.821415,-1.2257,0.5744,-0.4029,1.412
6.840272,-1.2489,0.6939,-0.2642,1.453
6.857225,-0.9147,0.8416,-0.2812,1.274
6.874221,-0.6755,0.8810,-0.2742,1.144
6.891243,-0.6894,0.8844,-0.0716,1.124
6.910165,-0.8082,0.8162,0.1159,1.154
6.936669,-0.7823,0.7500,0.2193,1.106
6.956420,-0.3533,0.9331,0.0607,1.000
6.975991,0.5567,1.3166,-0.1610,1.439
6.995902,0.9987,1.2907,0.0844,1.634
7.015341,1.1518,1.4475,3.0303,3.550
7.034344,0.0183,1.1041,3.8046,3.962
7.055277,-0.2763,0.9367,3.4897,3.624
