time,gFx,gFy,gFz,TgF
4.459986,-0.3679,0.5847,-0.1435,0.706
4.475572,-0.3748,0.6508,-0.3513,0.829
4.490859,-0.4840,0.6592,-0.6687,1.056
4.506150,-0.4891,0.7112,-0.7373,1.135
4.519874,-0.4190,0.8175,-0.7079,1.160
4.538754,-0.4800,0.8896,-0.6560,1.205
4.552780,-0.6107,0.9194,-0.6103,1.261
4.569278,-0.6894,0.9240,-0.5055,1.259
4.586506,-0.7039,0.9147,-0.2707,1.185
4.603735,-0.5115,1.0328,0.0827,1.155
4.622124,-0.2582,1.0867,0.3619,1.174
4.637537,-0.0994,1.2426,0.5193,1.350
4.655627,-0.1251,1.3205,0.5562,1.438
4.671830,-0.0880,1.4866,0.5086,1.574
4.688456,-0.0779,1.4857,0.3416,1.526
4.703915,-0.0579,1.4432,0.1592,1.453
4.718943,-0.0146,1.3892,0.0670,1.391
4.736619,0.0817,1.3713,0.0947,1.377
4.750755,0.2999,1.3557,0.1783,1.400
4.753458,0.4739,1.3398,0.2584,1.444
4.768511,0.5005,1.3386,0.2674,1.454
4.787064,0.5315,1.2553,0.2126,1.380
4.813469,0.3764,1.1642,0.0930,1.227
4.832537,0.3095,1.1966,-0.0572,1.237
4.848511,0.2892,1.1004,-0.0995,1.142
4.863794,0.3600,1.0410,-0.0540,1.103
4.880769,0.3928,1.0032,0.0138,1.077
4.896529,0.3789,1.0151,0.0246,1.084
4.912564,0.3503,0.9881,-0.0030,1.048
4.928022,0.3068,0.9560,-0.0452,1.005
4.943541,0.2941,0.9103,-0.0662,0.959
4.957967,0.2921,0.8873,-0.0467,0.935
4.973197,0.2108,0.7815,-0.0382,0.810
4.984615,0.1646,0.6895,-0.0506,0.711
5.008437,0.1495,0.6110,-0.0135,0.629
5.022645,0.1741,0.5033,-0.0384,0.534
5.036465,0.1670,0.4591,-0.1838,0.522
5.049166,0.1439,0.4063,-0.2940,0.522
5.064352,0.1297,0.3987,-0.3315,0.534
5.081175,0.1483,0.3972,-0.2810,0.509
5.097810,0.1052,0.3577,-0.2656,0.458
5.100963,-0.0351,0.2970,-0.2783,0.409
5.116182,-0.0684,0.2824,-0.2876,0.409
5.133838,-0.3039,0.2035,-0.3343,0.495
5.151618,-0.5175,0.1402,-0.2996,0.614
5.168430,-0.7474,0.1237,-0.2500,0.798
5.183824,-0.8057,0.1204,-0.2702,0.858
5.198128,-0.6543,0.1922,-0.3084,0.748
5.214361,-0.4417,0.2900,-0.3965,0.661
5.234590,-0.3613,0.3230,-0.4803,0.682
5.251194,-0.3195,0.4080,-0.5378,0.747
5.267359,-0.3486,0.5411,-0.6501,0.915
5.284301,-0.3017,0.7281,-0.7259,1.071
5.299898,-0.0589,1.1229,-0.7650,1.360
5.319744,0.0603,1.4615,-0.7594,1.648
5.334891,0.0090,1.7708,-0.7696,1.931
5.350298,-0.2569,1.8593,-0.8006,2.041
5.367790,-0.5450,2.0473,-0.9199,2.310
5.383086,-0.7749,2.1229,-1.0428,2.489
5.399061,-0.5357,2.2147,-0.9458,2.467
5.415572,-0.2089,2.2135,-0.7931,2.361
5.432209,-0.0417,2.1574,-0.5876,2.236
5.447055,-0.1495,1.9369,-0.6033,2.034
5.463477,-0.1844,1.7170,-0.7171,1.870
5.481920,-0.0859,1.4945,-0.7354,1.668
5.498787,0.0132,1.4092,-0.5889,1.527
5.514654,-0.1158,1.1700,-0.4569,1.261
5.529994,-0.2313,0.9956,-0.3814,1.091
5.547887,-0.2829,0.8314,-0.3262,0.937
5.566347,-0.2108,0.6680,-0.2649,0.749
5.581381,-0.1062,0.5339,-0.1270,0.559
5.597486,-0.0222,0.4268,-0.0066,0.427
5.612439,0.0158,0.3347,0.1203,0.356
5.629306,-0.0266,0.2653,0.2251,0.349
5.645331,-0.0547,0.2201,0.2097,0.309
5.663494,-0.0039,0.2467,0.1990,0.317
5.682505,0.0065,0.3142,0.1541,0.350
5.699031,-0.0916,0.3926,0.1326,0.424
5.715000,-0.3271,0.5136,0.0870,0.615
